[rosmaster.main][INFO] 2021-09-03 05:45:44,664: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-03 05:45:44,664: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-03 05:45:44,665: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-03 05:45:44,665: Started XML-RPC server [http://RicoSUPERMACHINE:11311/]
[xmlrpc][INFO] 2021-09-03 05:45:44,665: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-03 05:45:44,666: Master initialized: port[11311], uri[http://RicoSUPERMACHINE:11311/]
[rosmaster.master][INFO] 2021-09-03 05:45:44,694: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-03 05:45:44,694: +PARAM [/roslaunch/uris/host_ricosupermachine__38653] by /roslaunch
[rosmaster.master][INFO] 2021-09-03 05:45:44,710: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-09-03 05:45:44,710: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-09-03 05:45:44,718: +SERVICE [/rosout/get_loggers] /rosout http://RicoSUPERMACHINE:44029/
[rosmaster.master][INFO] 2021-09-03 05:45:44,719: +SERVICE [/rosout/set_logger_level] /rosout http://RicoSUPERMACHINE:44029/
[rosmaster.master][INFO] 2021-09-03 05:45:44,719: +PUB [/rosout_agg] /rosout http://RicoSUPERMACHINE:44029/
[rosmaster.master][INFO] 2021-09-03 05:45:44,721: +SUB [/rosout] /rosout http://RicoSUPERMACHINE:44029/
[rosmaster.master][INFO] 2021-09-03 05:48:07,481: +PUB [/rosout] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,482: +SERVICE [/rviz_1630648087475306748/get_loggers] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,482: +SERVICE [/rviz_1630648087475306748/set_logger_level] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,483: +CACHEDPARAM [/rosout_disable_topics_generation] by /rviz_1630648087475306748
[rosmaster.master][INFO] 2021-09-03 05:48:07,513: publisherUpdate[/rosout] -> http://RicoSUPERMACHINE:44029/ ['http://RicoSUPERMACHINE:44127/']
[rosmaster.master][INFO] 2021-09-03 05:48:07,537: publisherUpdate[/rosout] -> http://RicoSUPERMACHINE:44029/ ['http://RicoSUPERMACHINE:44127/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2021-09-03 05:48:07,618: +SUB [/tf] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,620: +SUB [/tf_static] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,665: +PUB [/initialpose] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,666: +PUB [/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,739: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2021-09-03 05:48:07,806: +SUB [/darknet_ros/detection_image] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,806: -PUB [/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,807: -PUB [/initialpose] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,810: +PUB [/initialpose] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,810: +PUB [/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,811: +PUB [/move_base_simple/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,811: -PUB [/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,811: +PUB [/clicked_point] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,831: +SERVICE [/rviz_1630648087475306748/reload_shaders] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,831: +SERVICE [/rviz_1630648087475306748/load_config] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:48:07,832: +SERVICE [/rviz_1630648087475306748/save_config] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,063: -SUB [/darknet_ros/detection_image] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,112: -PUB [/clicked_point] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,112: -PUB [/move_base_simple/goal] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,113: -PUB [/initialpose] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,120: -SUB [/tf_static] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,121: -SUB [/tf] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,125: -SERVICE [/rviz_1630648087475306748/save_config] /rviz_1630648087475306748 rosrpc://RicoSUPERMACHINE:52475
[rosmaster.master][INFO] 2021-09-03 05:49:48,126: -SERVICE [/rviz_1630648087475306748/load_config] /rviz_1630648087475306748 rosrpc://RicoSUPERMACHINE:52475
[rosmaster.master][INFO] 2021-09-03 05:49:48,126: -SERVICE [/rviz_1630648087475306748/reload_shaders] /rviz_1630648087475306748 rosrpc://RicoSUPERMACHINE:52475
[rosmaster.master][INFO] 2021-09-03 05:49:48,362: -PUB [/rosout] /rviz_1630648087475306748 http://RicoSUPERMACHINE:44127/
[rosmaster.master][INFO] 2021-09-03 05:49:48,364: -SERVICE [/rviz_1630648087475306748/get_loggers] /rviz_1630648087475306748 rosrpc://RicoSUPERMACHINE:52475
[rosmaster.master][INFO] 2021-09-03 05:49:48,364: publisherUpdate[/rosout] -> http://RicoSUPERMACHINE:44029/ []
[rosmaster.master][INFO] 2021-09-03 05:49:48,366: -SERVICE [/rviz_1630648087475306748/set_logger_level] /rviz_1630648087475306748 rosrpc://RicoSUPERMACHINE:52475
[rosmaster.master][INFO] 2021-09-03 05:49:48,367: -CACHEDPARAM [/rosout_disable_topics_generation] by /rviz_1630648087475306748
[rosmaster.master][INFO] 2021-09-03 05:49:48,404: publisherUpdate[/rosout] -> http://RicoSUPERMACHINE:44029/ []: sec=0.04, result=[1, '', 0]
