[rosmaster.main][INFO] 2021-09-04 19:58:52,584: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-04 19:58:52,584: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-04 19:58:52,585: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-04 19:58:52,585: Started XML-RPC server [http://RicoSUPERMACHINE:11311/]
[xmlrpc][INFO] 2021-09-04 19:58:52,585: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-04 19:58:52,585: Master initialized: port[11311], uri[http://RicoSUPERMACHINE:11311/]
[rosmaster.master][INFO] 2021-09-04 19:58:52,620: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-04 19:58:52,621: +PARAM [/roslaunch/uris/host_ricosupermachine__35449] by /roslaunch
[rosmaster.master][INFO] 2021-09-04 19:58:52,648: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-09-04 19:58:52,649: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-09-04 19:58:52,657: +SERVICE [/rosout/get_loggers] /rosout http://RicoSUPERMACHINE:46007/
[rosmaster.master][INFO] 2021-09-04 19:58:52,658: +SERVICE [/rosout/set_logger_level] /rosout http://RicoSUPERMACHINE:46007/
[rosmaster.master][INFO] 2021-09-04 19:58:52,659: +PUB [/rosout_agg] /rosout http://RicoSUPERMACHINE:46007/
[rosmaster.master][INFO] 2021-09-04 19:58:52,660: +SUB [/rosout] /rosout http://RicoSUPERMACHINE:46007/
[rosmaster.master][INFO] 2021-09-04 19:58:55,247: +PUB [/rosout] /rviz_1630785535241294490 http://RicoSUPERMACHINE:39093/
[rosmaster.master][INFO] 2021-09-04 19:58:55,248: +SERVICE [/rviz_1630785535241294490/get_loggers] /rviz_1630785535241294490 http://RicoSUPERMACHINE:39093/
[rosmaster.master][INFO] 2021-09-04 19:58:55,248: +SERVICE [/rviz_1630785535241294490/set_logger_level] /rviz_1630785535241294490 http://RicoSUPERMACHINE:39093/
